variant,label,status,metric_source,accuracy,macro_precision,macro_recall,macro_f1,macro_ovr_auc,serialized_model_bytes,estimated_deployment_parameter_bytes,inference_throughput_examples_per_second,inference_median_batch_latency_ms,inference_ram_delta_bytes,inference_vram,quantization_validity,efficiency_interpretation,logits_mse_vs_fp32,delta_accuracy_vs_fp32,delta_macro_precision_vs_fp32,delta_macro_recall_vs_fp32,delta_macro_f1_vs_fp32,delta_macro_ovr_auc_vs_fp32
fp32,CNN FP32,completed,litert,0.9785714285714285,0.9786539048124437,0.9785714285714284,0.9785548115005975,0.9994517258755353,2601313,804236,3312.0467708357696,76.43848886585523,362229760,not_applicable_cpu_runtime,float_or_hybrid,measured,0.0,0.0,0.0,0.0,0.0,0.0
fp16,CNN FP16,completed,keras_qat_or_training,0.9729523809523809,0.9730748485879323,0.972952380952381,0.9729583371659374,0.9991843789367598,4247287,406106,,,,not_available,failed,measured,5.753086919742336,-0.005619047619047635,-0.005579056224511492,-0.005619047619047413,-0.005596474334660151,-0.0002673469387755034
int8_qat,CNN INT8 QAT,completed,litert,0.9620952380952381,0.9623784354818348,0.9620952380952381,0.9621412743731188,0.9985736104812295,2644729,207153,5141.263358297779,49.08125260976149,215834624,not_applicable_cpu_runtime,float_or_hybrid,measured,4.211950638711475,-0.016476190476190422,-0.01627546933060897,-0.01647619047619031,-0.016413537127478728,-0.0008781153943058229
int4_qat,CNN INT4 QAT (emulado),completed,keras_qat_or_training,0.9800952380952381,0.9801474482961725,0.9800952380952381,0.9800971121840558,0.9995636583522298,2644729,107621,,,,not_available,emulated_int4,emulated_int4,8.096385362262879,0.0015238095238095939,0.0014935434837287653,0.001523809523809705,0.0015423006834582864,0.00011193247669449846
int8_ptq,CNN INT8 PTQ,completed,litert,0.9664761904761905,0.9667661540136716,0.9664761904761905,0.9664034065904674,0.9986841773746538,2601313,207041,3610.370908017994,63.3562391585434,215482368,not_applicable_cpu_runtime,float_or_hybrid,measured,1.583424879320357,-0.012095238095238048,-0.011887750798772134,-0.012095238095237937,-0.012151404910130115,-0.0007675485008815652
