dataset_key,dataset,activation_key,activation,status,epochs_completed,test_accuracy,test_balanced_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,test_loss,test_samples,training_seconds,evaluation_seconds,mean_epoch_seconds,mean_train_examples_per_second,telemetry_samples,gpu_util_mean_pct,gpu_util_max_pct,gpu_memory_mean_bytes,peak_gpu_memory_bytes,process_cpu_mean_pct,peak_process_cpu_pct,process_rss_mean_bytes,peak_process_rss_bytes,ram_mean_pct,peak_ram_percent,thermal_pressure,metric_path,old_accuracy,old_macro_f1,old_mean_epoch_seconds,old_training_seconds,model,delta_accuracy_pp,delta_macro_f1_pp,time_reduction_pct
mnist,MNIST,relu,ReLU,completed,100,0.983711183082492,0.9834921216306837,0.9836032804048654,0.9838301459444436,0.9834921216306837,0.05944294109940529,10498,11517.993740995953,10.829697667009896,115.17993740995954,638.2008853192772,2440,92.98524590163935,100.0,954179046.8196721,1340981248.0,84.26950819672132,154.4,3039171607.5016394,4145889280.0,74.1270081967213,78.6,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/relu/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json,0.9874261764145551,0.9871904715624511,226.35497882875993,22635.497882875996,MNIST · ReLU,-0.37149933320631545,-0.35871911575856563,49.11535058519988
mnist,MNIST,sigmoid,Sigmoid,completed,100,0.984568489236045,0.984298213400842,0.9843664460956557,0.9844736663561985,0.984298213400842,0.055624689906835556,10498,15238.214463624085,21.720739207987208,152.38214463624084,482.3845858829897,3299,81.62352227947864,100.0,812461274.2091542,1205895168.0,75.52021824795393,154.9,3234922426.4710517,4292362240.0,73.80833585935132,76.4,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/sigmoid/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json,0.989236044960945,0.9891628982789834,294.9370433816499,29493.704338164993,MNIST · Sigmoid,-0.46675557248999633,-0.4796452183327693,48.334009560454696
mnist,MNIST,softmax,Softmax,completed,100,0.11249761859401791,0.1,0.020224334275194798,0.011249761859401792,0.1,2.3014438152313232,10498,11775.207656631072,11.25788633400225,117.75207656631072,624.2558210258813,2489,92.65488147850543,100.0,954462407.1225392,1320796160.0,82.55343511450381,156.6,3268853016.1703496,4648058880.0,74.06601044596223,77.8,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/softmax/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json,0.11249761859401791,0.020224334275194798,231.14603615457017,23114.603615457017,MNIST · Softmax,0.0,0.0,49.05728061563276
fashion_mnist,Fashion-MNIST,relu,ReLU,completed,100,0.8781904761904762,0.8781904761904762,0.875009941371526,0.8818018265375256,0.8781904761904762,0.3272852599620819,10500,11786.486073706998,11.04419083299581,117.86486073706998,623.6867404402673,2494,92.79751403368084,100.0,951980751.3456295,1341620224.0,82.59759422614275,156.6,3179155498.700882,4414652416.0,74.34218123496392,78.8,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fashion_mnist/relu/fashion_mnist/runs/fashion_mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json,0.876,0.870729984235553,205.90894226577933,20590.894226577933,Fashion-MNIST · ReLU,0.2190476190476187,0.4279957135972956,42.75874595823306
fashion_mnist,Fashion-MNIST,sigmoid,Sigmoid,completed,100,0.9004761904761904,0.9004761904761903,0.9004150282064896,0.9019946165771031,0.9004761904761903,0.2770634591579437,10500,15033.887372297788,21.947290791984415,150.33887372297787,489.07670651975576,3260,81.75920245398773,100.0,810558666.2871165,1207287808.0,76.20736196319018,153.9,2872803659.7006135,3932602368.0,75.3855828220859,80.2,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fashion_mnist/sigmoid/fashion_mnist/runs/fashion_mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json,0.9180952380952381,0.9179117567300048,298.24339034622943,29824.339034622943,Fashion-MNIST · Sigmoid,-1.7619047619047645,-1.7496728523515248,49.59188414923458
