dataset_key,dataset,activation_key,activation,status,epochs_completed,test_accuracy,test_balanced_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,test_loss,test_samples,training_seconds,evaluation_seconds,mean_epoch_seconds,mean_train_examples_per_second,telemetry_samples,gpu_util_mean_pct,gpu_util_max_pct,gpu_memory_mean_bytes,peak_gpu_memory_bytes,process_cpu_mean_pct,peak_process_cpu_pct,process_rss_mean_bytes,peak_process_rss_bytes,ram_mean_pct,peak_ram_percent,thermal_pressure,metric_path
cifar100_coarse,CIFAR-100 coarse,relu,ReLU,completed,100,0.3032222222222222,0.3032222222222222,0.2997818002449407,0.36904640088171564,0.3032222222222222,2.257801055908203,9000,11420.381908334079,9.754057583006215,114.20381908334079,551.6625109045692,2412,91.03316749585406,100.0,1165084376.517413,1296121856.0,97.06803482587065,223.2,3110383092.9618573,3969777664.0,73.92578772802653,77.9,nominal,outputs/controlled-augmentation05-activations-mac2/activations/cifar100_coarse/relu/cifar100_coarse/runs/cifar100_coarse__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
cifar100_coarse,CIFAR-100 coarse,sigmoid,Sigmoid,completed,100,0.3661111111111111,0.3661111111111111,0.35015427004960964,0.36262735147946706,0.3661111111111111,2.0521531105041504,9000,14213.506117667886,18.763205583003582,142.13506117667887,443.25420718377524,3068,80.82040417209909,100.0,1020060336.8970013,1154875392.0,88.01659061277707,221.1,3144020432.6049542,4640686080.0,73.40250977835723,80.0,nominal,outputs/controlled-augmentation05-activations-mac2/activations/cifar100_coarse/sigmoid/cifar100_coarse/runs/cifar100_coarse__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
cifar100_coarse,CIFAR-100 coarse,softmax,Softmax,completed,100,0.05,0.05,0.0047619047619047615,0.0025,0.05,2.995737314224243,9000,11571.381797293783,9.84553304198198,115.71381797293783,544.4665747601512,2440,91.8655737704918,100.0,1161478197.7180328,1375649792.0,97.9889344262295,218.7,3243924933.2459016,4264804352.0,73.29045081967213,76.2,nominal,outputs/controlled-augmentation05-activations-mac2/activations/cifar100_coarse/softmax/cifar100_coarse/runs/cifar100_coarse__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
svhn,SVHN,relu,ReLU,completed,100,0.8644329550795676,0.8499296363879143,0.8686267801464617,0.8978104270907558,0.8499296363879143,0.4233870208263397,14893,18871.485311626137,15.26818479099893,188.71485311626137,552.4598866173858,3906,91.86712749615975,100.0,1128905049.0035841,1951694848.0,96.57713773681515,220.6,3442392521.732719,4423581696.0,74.98630312339989,84.1,nominal,outputs/controlled-augmentation05-activations-mac2/activations/svhn/relu/svhn/runs/svhn__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
svhn,SVHN,sigmoid,Sigmoid,completed,100,0.8775935003021553,0.8612291523015008,0.8706552052411359,0.8827701003006678,0.8612291523015008,0.38693469762802124,14893,23688.787680082343,29.91733775002649,236.88787680082342,440.1637813830272,5012,81.32701516360734,100.0,769187810.5794094,1751252992.0,87.72276536312849,220.5,3447466005.248204,4689936384.0,73.64070231444533,82.6,nominal,outputs/controlled-augmentation05-activations-mac2/activations/svhn/sigmoid/svhn/runs/svhn__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
svhn,SVHN,softmax,Softmax,completed,100,0.1909621970053045,0.1,0.03206855725319953,0.01909621970053045,0.1,2.2577826976776123,14893,19072.648208710074,15.970344208006281,190.72648208710075,546.6188317178689,3934,92.36349771225215,100.0,928809051.6237925,1369620480.0,96.73154550076259,216.8,3790530207.0401626,5498454016.0,71.5895526182003,79.2,nominal,outputs/controlled-augmentation05-activations-mac2/activations/svhn/softmax/svhn/runs/svhn__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
gtsrb,GTSRB,relu,ReLU,completed,100,0.6875712656784493,0.6790629408497627,0.5775419826324394,0.6212731684118423,0.6790629408497627,0.1083059310913086,3508,7528.070932499046,7.351571374980267,75.28070932499045,327.49562270005305,1629,92.70656844689994,100.0,3021327174.5610805,3731423232.0,76.01270718232044,125.0,2179648296.387968,3320397824.0,81.56445672191529,85.9,nominal,outputs/controlled-augmentation05-activations-mac2/activations/gtsrb/relu/gtsrb/runs/gtsrb__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
gtsrb,GTSRB,sigmoid,Sigmoid,completed,100,0.7537058152793614,0.47103194935238374,0.45314684691199203,0.5110619333264625,0.47103194935238374,0.6583009958267212,3508,8550.103520623175,9.180575417005457,85.50103520623175,288.32838183150034,1850,81.81135135135135,100.0,2627299281.5048647,3268313088.0,89.71605405405406,122.5,2971058477.1113515,3839164416.0,75.32713513513514,84.4,nominal,outputs/controlled-augmentation05-activations-mac2/activations/gtsrb/sigmoid/gtsrb/runs/gtsrb__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
gtsrb,GTSRB,softmax,Softmax,completed,100,0.12343215507411631,0.045715016953944636,0.009569220819881642,0.005363381694301165,0.045715016953944636,2.833131790161133,3508,7670.529032121063,7.453635249985382,76.70529032121063,321.41417696056715,1653,92.22081064730793,100.0,3033973281.1421657,3675226112.0,72.06884452510587,122.2,2875717152.522686,4044128256.0,73.96515426497277,82.7,nominal,outputs/controlled-augmentation05-activations-mac2/activations/gtsrb/softmax/gtsrb/runs/gtsrb__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fer2013,FER2013,relu,ReLU,completed,100,0.40319583797844666,0.33326571310059394,0.27467925950541716,0.2425645175575903,0.33326571310059394,1.4326345920562744,5382,6034.8725276732,6.349081291991752,60.348725276732004,624.550126142156,1332,91.72597597597597,100.0,1134293877.6216216,1326022656.0,83.10503003003002,158.7,3835656050.5465465,4877418496.0,60.076951951951955,63.9,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fer2013/relu/fer2013/runs/fer2013__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fer2013,FER2013,sigmoid,Sigmoid,completed,100,0.474544778892605,0.38367297200013273,0.37544408605168644,0.3917092603891036,0.38367297200013273,1.3520190715789795,5382,7879.99381066786,11.216047374997288,78.7999381066786,478.2819934922941,1760,80.45056818181818,100.0,999616400.290909,1167917056.0,74.93886363636364,157.1,3928505613.9636364,4974837760.0,61.53028409090909,63.3,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fer2013/sigmoid/fer2013/runs/fer2013__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fer2013,FER2013,softmax,Softmax,completed,100,0.25046451133407654,0.14285714285714285,0.057227764805773726,0.03578064447629665,0.14285714285714285,1.810368299484253,5382,3314.870583418,5.912658208999801,58.155624270491224,648.2822173867844,741,91.52226720647774,100.0,1158908597.7219973,1782906880.0,85.42793522267206,178.3,2323935060.642375,3195731968.0,69.2029689608637,70.9,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fer2013/softmax/fer2013/runs/fer2013__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
