run_id,status,normalization,balance_mode,balance_no_op,raw_train_class_counts,output_train_class_counts,seed,attempt,config_fingerprint,split_fingerprint,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_samples,training_total_seconds,mean_epoch_seconds,telemetry_samples,peak_cpu_percent,peak_ram_used_bytes,peak_process_rss_bytes,peak_gpu_memory_used_bytes,peak_gpu_utilization_percent,report_path
gtsrb__zscore__all_raw__seed-42,completed,zscore,all_raw,True,"{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}","{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}",42,1,9bfe5d7c84120a586219819aa5d79d45a62eca3df22f823caa8e641bd85748da,3bffc0cf36b45aeb68bbbf910a1c3e4bddb3a5dd1f6280e4ab6ea67034d7ea58,0.023288758471608162,0.9938733832539143,0.9937973974761335,0.9937103979614363,5876,18733.147695075008,260.18260687604175,3834,40.0,8559165440.0,8638296064.0,7445647360.0,100.0,runs/gtsrb__zscore__all_raw__seed-42/artifacts/report.html
gtsrb__zscore__class_weight__seed-42,completed,zscore,class_weight,False,"{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}","{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}",42,1,8ee58e31ffb78a88a2bdf0e8d361592c15a236d20a989d8f29d51bc9772a0dbb,3bffc0cf36b45aeb68bbbf910a1c3e4bddb3a5dd1f6280e4ab6ea67034d7ea58,0.055792998522520065,0.9828114363512593,0.9883814794992782,0.9856896443849041,5876,22970.741477992022,255.23046086657803,4715,18.1,9489973248.0,9511731200.0,8201768960.0,100.0,runs/gtsrb__zscore__class_weight__seed-42/artifacts/report.html
gtsrb__zscore__oversample__seed-42,completed,zscore,oversample,False,"{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}","{'0': 1575, '1': 1575, '10': 1575, '11': 1575, '12': 1575, '13': 1575, '14': 1575, '15': 1575, '16': 1575, '17': 1575, '18': 1575, '19': 1575, '2': 1575, '20': 1575, '21': 1575, '22': 1575, '23': 1575, '24': 1575, '25': 1575, '26': 1575, '27': 1575, '28': 1575, '29': 1575, '3': 1575, '30': 1575, '31': 1575, '32': 1575, '33': 1575, '34': 1575, '35': 1575, '36': 1575, '37': 1575, '38': 1575, '39': 1575, '4': 1575, '40': 1575, '41': 1575, '42': 1575, '5': 1575, '6': 1575, '7': 1575, '8': 1575, '9': 1575}",42,1,9536ecb60d4cc000214965773bc77f56139b9b56ae9638c40be3f02df15f60ae,3bffc0cf36b45aeb68bbbf910a1c3e4bddb3a5dd1f6280e4ab6ea67034d7ea58,0.016353819519281387,0.9954050374404356,0.9970668364646122,0.996748931152382,5876,35632.754840207046,584.1435219706074,7157,18.4,9788985344.0,9818685440.0,7654617088.0,100.0,runs/gtsrb__zscore__oversample__seed-42/artifacts/report.html
gtsrb__zscore__undersample__seed-42,completed,zscore,undersample,False,"{'0': 147, '1': 1554, '10': 1407, '11': 924, '12': 1470, '13': 1512, '14': 567, '15': 441, '16': 315, '17': 777, '18': 840, '19': 147, '2': 1575, '20': 231, '21': 231, '22': 273, '23': 357, '24': 189, '25': 1050, '26': 420, '27': 168, '28': 357, '29': 189, '3': 987, '30': 315, '31': 567, '32': 168, '33': 483, '34': 294, '35': 840, '36': 273, '37': 147, '38': 1449, '39': 210, '4': 1386, '40': 231, '41': 168, '42': 189, '5': 1323, '6': 315, '7': 987, '8': 987, '9': 1029}","{'0': 147, '1': 147, '10': 147, '11': 147, '12': 147, '13': 147, '14': 147, '15': 147, '16': 147, '17': 147, '18': 147, '19': 147, '2': 147, '20': 147, '21': 147, '22': 147, '23': 147, '24': 147, '25': 147, '26': 147, '27': 147, '28': 147, '29': 147, '3': 147, '30': 147, '31': 147, '32': 147, '33': 147, '34': 147, '35': 147, '36': 147, '37': 147, '38': 147, '39': 147, '4': 147, '40': 147, '41': 147, '42': 147, '5': 147, '6': 147, '7': 147, '8': 147, '9': 147}",42,1,0930835105cc59677a1a82e957b1318e0716016691c0864b9bb6508e88710152,3bffc0cf36b45aeb68bbbf910a1c3e4bddb3a5dd1f6280e4ab6ea67034d7ea58,0.49217894673347473,0.8301565690946222,0.8972622476975674,0.8568044502282838,5876,4105.872983633948,41.05872983633948,1015,13.5,8910286848.0,8981319680.0,8162750464.0,100.0,runs/gtsrb__zscore__undersample__seed-42/artifacts/report.html
