variant,label,accuracy,macro_f1,macro_ovr_auc,logit_mse_vs_fp32,prediction_agreement_vs_fp32,accuracy_delta_pp,macro_f1_delta_pp,auc_delta_pp
fp32,FP32,0.9785714285714285,0.9785548115005975,0.9994520382968004,0.0,1.0,0.0,0.0,0.0
fp16,FP16,0.9729523809523809,0.9729583371659374,0.9991843789367598,5.753086919742336,0.9735238095238096,-0.5619047619047635,-0.5596474334660151,-0.02676593600405841
int8_qat,INT8-QAT,0.9772380952380952,0.977249864907316,0.9994110707986898,4.211950638711475,0.9762857142857143,-0.13333333333332975,-0.13049465932815085,-0.004096749811055567
int4_qat,INT4-QAT (emulado),0.9800952380952381,0.9800971121840558,0.9995636583522298,8.096385362262879,0.9745714285714285,0.1523809523809594,0.15423006834582864,0.011162005542941777
int8_ptq,INT8-PTQ,0.9664761904761905,0.9664034065904674,0.9986841773746538,1.5832832200273022,0.9749523809523809,-1.2095238095238048,-1.2151404910130115,-0.07678609221466459
